BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Keller Williams Legendary",Pending,999888,2,1900,"29-31 159th St","Flushing, NY 11358","29-31 159th St, Flushing, NY 11358","United States","New York","Queens County",Queens,"159th Street","29-31 159th St, Flushing, NY 11358, USA",40.7701584,-73.8052147
"Brokered by Geo Real Estate Group Inc","Co-op for sale",375000,1,500,"240 E 55th St Apt 8E","New York, NY 10022","240 E 55th St Apt 8E, New York, NY 10022","New York","New York County","New York",Manhattan,240,"240 E 55th St #8e, New York, NY 10022, USA",40.7581216,-73.9670704
"Brokered by Netter Real Estate Inc","House for sale",848724,2,2185,"53-15 37th Rd","Woodside, NY 11377","53-15 37th Rd, Woodside, NY 11377","United States","New York","Queens County",Queens,"37th Road","53-15 37th Rd, Flushing, NY 11377, USA",40.7511112,-73.9089639
"Brokered by City Advance Realty Inc","Condo for sale",568000,2,1253,"164 Beach 101st St Unit 15A","Rockaway Park, NY 11694","164 Beach 101st St Unit 15A, Rockaway Park, NY 11694","New York","Queens County",Queens,"Rockaway Park",164,"164 Beach 101st St #15a, Rockaway Park, NY 11694, USA",40.5828044,-73.8210807
"Brokered by Salmon Realty Group","Multi-family home for sale",1153000,2.5,3980,"7739 Amboy Rd","Staten Island, NY 10307","7739 Amboy Rd, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Amboy Road","7739 Amboy Rd, Staten Island, NY 10307, USA",40.5078915,-74.2530332
"Brokered by Realty Connect USA LLC","Multi-family home for sale",2399000,5,2197,"3505 214th Pl","Bayside, NY 11361","3505 214th Pl, Bayside, NY 11361","United States","New York","Queens County",Queens,"214th Place","35-05 214th Pl, Flushing, NY 11361, USA",40.7693956,-73.7708144
"Brokered by Mont Sky Real Estate Hudson","Townhouse for sale",899000,2,1400,"50-07 63rd St","Woodside, NY 11377","50-07 63rd St, Woodside, NY 11377","United States","New York","Queens County",Queens,"63rd Street","50-07 63rd St, Flushing, NY 11377, USA",40.7368055,-73.9026152
"Brokered by Amorelli Realty LLC","Co-op for sale",169000,1,2206,"21-57 33rd St Unit 5D","Astoria, NY 11105","21-57 33rd St Unit 5D, Astoria, NY 11105","New York","Queens County",Queens,Astoria,21-57,"21-57 33rd St #5d, Astoria, NY 11105, USA",40.7759232,-73.9087334
"Brokered by JM Properties","House for sale",449999,3,1217,"46 Elizabeth St","Staten Island, NY 10310","46 Elizabeth St, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Elizabeth Street","46 Elizabeth St, Staten Island, NY 10310, USA",40.6329023,-74.120945
"Brokered by River Realty Services, Inc.",Foreclosure,886545,4,2116,"133-29 Amber St","Howard Beach, NY 11208","133-29 Amber St, Howard Beach, NY 11208","United States","New York","Queens County",Queens,"Amber Street","133- 38 Amber St, Howard Beach, NY 11414, USA",40.6719007,-73.8590006
"Brokered by Keller Williams Realty Staten Island","Townhouse for sale",495000,2,1280,"75 N Burgher Ave","Staten Island, NY 10310","75 N Burgher Ave, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","North Burgher Avenue","75 N Burgher Ave, Staten Island, NY 10310, USA",40.6396483,-74.1151985
"Brokered by EXIT REALTY PRIME","House for sale",875000,3,2129,"79-26 268th St","Glen Oaks, NY 11004","79-26 268th St, Glen Oaks, NY 11004","United States","New York","Queens County",Queens,"268th Street","79-26 268th St, Queens, NY 11004, USA",40.7474641,-73.704456
"Brokered by COMPASS","Condo for sale",849000,1,720,"150 W 51st St Apt 808","Manhattan, NY 10019","150 W 51st St Apt 808, Manhattan, NY 10019","New York","New York County","New York",Manhattan,150,"150 W 51st St #808, New York, NY 10019, USA",40.761427,-73.982584
"Brokered by KELLER WILLIAMS REALTY LANDMARK II",Pending,299999,1,650,"124-21 Flatlands Ave Unit 8B","Brooklyn, NY 11208","124-21 Flatlands Ave Unit 8B, Brooklyn, NY 11208","New York","Kings County",Brooklyn,"East New York",12421,"12421 Flatlands Ave #8b, Brooklyn, NY 11208, USA",40.657696,-73.8764091
"Brokered by Keller Williams Realty Staten Island",Contingent,459000,1,1188,"382 Sprague Ave","Staten Island, NY 10307","382 Sprague Ave, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Sprague Avenue","382 Sprague Ave, Staten Island, NY 10307, USA",40.5019991,-74.2372284
"Brokered by Homes R Us Realty of NY, Inc.","House for sale",399998,2,1252,"73 Irving Pl","Staten Island, NY 10304","73 Irving Pl, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Irving Place","73 Irving Pl, Staten Island, NY 10304, USA",40.6171678,-74.0837135
"Brokered by Sotheby's International Realty - Downtown Manhattan","Condo for sale",9500000,4,3655,"1 John St # E","Brooklyn, NY 11201","1 John St # E, Brooklyn, NY 11201","New York","Kings County",Brooklyn,Dumbo,1,"John Street Park, 1 John St, Brooklyn, NY 11201, USA",40.7046228,-73.9878238
"Brokered by IHome Realty Group LLC","House for sale",650000,2,1482,"954 Brooklyn Ave","Brooklyn, NY 11203","954 Brooklyn Ave, Brooklyn, NY 11203","United States","New York","Kings County",Brooklyn,"Brooklyn Avenue","954 Brooklyn Ave, Brooklyn, NY 11203, USA",40.6503361,-73.9440072
"Brokered by Century 21 Papp Realty","House for sale",880000,4,2100,"20 Gabriele Ct","Staten Island, NY 10312","20 Gabriele Ct, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Gabrielle Court","20 Gabrielle Ct, Staten Island, NY 10312, USA",40.551314,-74.1670026
"Brokered by Winzone Realty Inc","House for sale",1350000,3,2082,"80-31 188th St","Hollis, NY 11432","80-31 188th St, Hollis, NY 11432","United States","New York","Queens County",Queens,"188th Street","80-31 188th St, Hollis, NY 11423, USA",40.7284032,-73.7803984
"Brokered by Tru International Realty Corp","Condo for sale",599000,2,2191,"131-19 Fowler Ave Unit 2C","Flushing, NY 11355","131-19 Fowler Ave Unit 2C, Flushing, NY 11355","New York","Queens County",Queens,Flushing,131-19,"131-19 Fowler Ave #2c, Flushing, NY 11355, USA",40.7517561,-73.8344347
"Brokered by Keller Williams Rlty Landmark","Co-op for sale",225000,1,2199,"35-45 204 St Unit 399","Bayside, NY 11361","35-45 204 St Unit 399, Bayside, NY 11361","New York","Queens County",Queens,Auburndale,3545,"3545 204th St # 399, Auburndale, NY 11361, USA",40.7664499,-73.78359
"Brokered by Level","Co-op for sale",220000,1,2166,"273 Bennett Ave Apt 6E","New York, NY 10040","273 Bennett Ave Apt 6E, New York, NY 10040","New York","New York County","New York",Manhattan,273,"273 Bennett Ave #6e, New York, NY 10040, USA",40.8590729,-73.9322176
"Brokered by RE/MAX Team","Co-op for sale",289000,1,2180,"2199 Holland Ave Apt 5N","Bronx, NY 10462","2199 Holland Ave Apt 5N, Bronx, NY 10462","New York","Bronx County","The Bronx","East Bronx",2199,"2199 Holland Ave #5n, Bronx, NY 10462, USA",40.8563536,-73.865974
"Brokered by Corcoran SoHo",Pending,350000,1,2204,"2088 Madison Ave Apt 1A","New York, NY 10037","2088 Madison Ave Apt 1A, New York, NY 10037","New York","New York County","New York",Manhattan,2088,"2088 Madison Ave #1a, New York, NY 10037, USA",40.8099146,-73.9379084
"Brokered by Winzone Realty Inc","House for sale",1350000,3,2082,"80-31 188th St","Hollis, NY 11432","80-31 188th St, Hollis, NY 11432","United States","New York","Queens County",Queens,"188th Street","80-31 188th St, Hollis, NY 11423, USA",40.7284032,-73.7803984
"Brokered by Century 21 Papp Realty","House for sale",880000,4,2100,"20 Gabriele Ct","Staten Island, NY 10312","20 Gabriele Ct, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Gabrielle Court","20 Gabrielle Ct, Staten Island, NY 10312, USA",40.551314,-74.1670026
"Brokered by Realty Connect USA LLC","House for sale",719999,2,2166,"108-16 36 Ave","Corona, NY 11368","108-16 36 Ave, Corona, NY 11368","United States","New York","Queens County",Queens,"36th Avenue","108-16 36th Ave, Queens, NY 11368, USA",40.754545,-73.859675
"Brokered by COMPASS","Condo for sale",1100000,1,807,"170 Broadway Apt 6A","Brooklyn, NY 11211","170 Broadway Apt 6A, Brooklyn, NY 11211","New York","Kings County",Brooklyn,Southside,170,"170 Broadway #6a, Brooklyn, NY 11211, USA",40.709905,-73.962869
"Brokered by S Sharf Realty Inc","Multi-family home for sale",1699999,3,2754,"370 Marion St","Brooklyn, NY 11233","370 Marion St, Brooklyn, NY 11233","United States","New York","Kings County",Brooklyn,"Marion Street","370 Marion St, Brooklyn, NY 11233, USA",40.681189,-73.9146606
"Brokered by TREBACH REALTY INC","House for sale",3400000,6,6290,"5000 Goodridge Ave","Bronx, NY 10471","5000 Goodridge Ave, Bronx, NY 10471","United States","New York","Bronx County","The Bronx","Goodridge Avenue","5000 Goodridge Ave, Bronx, NY 10471, USA",40.8969575,-73.9032123
"Brokered by YourHomeSold Guarantee Realty","Land for sale",250000,2.5,2166,"1818 Unionport Rd","Bronx, NY 10462","1818 Unionport Rd, Bronx, NY 10462","United States","New York","Bronx County","The Bronx","Unionport Road","1818 Unionport Rd, Bronx, NY 10462, USA",40.8453241,-73.8684042
"Brokered by Sotheby's International Realty - Downtown Manhattan","Co-op for sale",299000,1,2197,"579 W 215th St Apt 9D","New York, NY 10034","579 W 215th St Apt 9D, New York, NY 10034","New York","New York County","New York",Manhattan,579,"579 W 215th St #9d, New York, NY 10034, USA",40.8718895,-73.9188667
"Brokered by AAA Young Shuen Realty Inc","House for sale",1288000,2.5,2198,"146-06 13th Ave","Whitestone, NY 11357","146-06 13th Ave, Whitestone, NY 11357","United States","New York","Queens County",Queens,"13th Avenue","146-06 13th Ave, Flushing, NY 11357, USA",40.7886657,-73.8207928
"Brokered by Serhant","Condo for sale",3345000,2,1875,"158 Franklin St Fl 3","New York, NY 10013","158 Franklin St Fl 3, New York, NY 10013","New York","New York County","New York",Manhattan,158,"158 Franklin St FL 3, New York, NY 10013, USA",40.7194435,-74.0081022
"Brokered by Anthony T Crews Real Estate LLC","House for sale",575000,2,1604,"190 Crystal St","Brooklyn, NY 11208","190 Crystal St, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Crystal Street","190 Crystal St, Brooklyn, NY 11208, USA",40.6740009,-73.8743074
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",775000,1,2190,"401 W End Ave Unit 3E","Manhattan, NY 10024","401 W End Ave Unit 3E, Manhattan, NY 10024","New York","New York County","New York",Manhattan,401,"401 West End Ave # 3d, New York, NY 10024, USA",40.7845412,-73.981249
"Brokered by YourHomeSold Guarantee Realty","Land for sale",250000,2.5,2196,"1818 Unionport Rd","Bronx, NY 10462","1818 Unionport Rd, Bronx, NY 10462","United States","New York","Bronx County","The Bronx","Unionport Road","1818 Unionport Rd, Bronx, NY 10462, USA",40.8453241,-73.8684042
"Brokered by Serhant","Condo for sale",3345000,2,1875,"158 Franklin St Fl 3","New York, NY 10013","158 Franklin St Fl 3, New York, NY 10013","New York","New York County","New York",Manhattan,158,"158 Franklin St FL 3, New York, NY 10013, USA",40.7194435,-74.0081022
"Brokered by TREBACH REALTY INC","House for sale",3400000,6,6290,"5000 Goodridge Ave","Bronx, NY 10471","5000 Goodridge Ave, Bronx, NY 10471","United States","New York","Bronx County","The Bronx","Goodridge Avenue","5000 Goodridge Ave, Bronx, NY 10471, USA",40.8969575,-73.9032123
"Brokered by Anthony T Crews Real Estate LLC","House for sale",575000,2,1604,"190 Crystal St","Brooklyn, NY 11208","190 Crystal St, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Crystal Street","190 Crystal St, Brooklyn, NY 11208, USA",40.6740009,-73.8743074
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","House for sale",897888,2,1260,"69-29 54th Ave","Maspeth, NY 11378","69-29 54th Ave, Maspeth, NY 11378","United States","New York","Queens County",Queens,"54th Avenue","69-29 54th Ave, Flushing, NY 11378, USA",40.7292895,-73.8945367
"Brokered by Voro Llc","Multi-family home for sale",1198000,5,2205,"132-31 219th St","Springfield Gardens, NY 11413","132-31 219th St, Springfield Gardens, NY 11413","United States","New York","Queens County",Queens,"219th Street","132-31 219th St, Jamaica, NY 11413, USA",40.6811645,-73.7493264
"Brokered by Keller Williams Rty Gold Coast","House for sale",2100000,3,3512,"150-123 Powells Cove Blvd","Whitestone, NY 11357","150-123 Powells Cove Blvd, Whitestone, NY 11357","United States","New York","Queens County",Queens,"Powells Cove Boulevard","150-123 Powells Cove Blvd, Whitestone, NY 11357, USA",40.7974719,-73.8143638
"Brokered by Coldwell Banker American Homes","Co-op for sale",230000,1,2166,"43-25 Douglaston Pkwy Unit 6D","Douglaston, NY 11363","43-25 Douglaston Pkwy Unit 6D, Douglaston, NY 11363","New York","Queens County",Queens,Douglaston,4325,"4325 Douglaston Pkwy Apt 6d, Douglaston, NY 11363, USA",40.7670699,-73.74642
"Brokered by Nest Seekers International, Midtown","Condo for sale",750000,2,1027,"2132 2nd Ave Unit 7B","New York, NY 10029","2132 2nd Ave Unit 7B, New York, NY 10029","New York","New York County","New York",Manhattan,2132,"2132 2nd Ave #7b, New York, NY 10029, USA",40.7929253,-73.9404138
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",775000,1,2162,"401 W End Ave Unit 3E","Manhattan, NY 10024","401 W End Ave Unit 3E, Manhattan, NY 10024","New York","New York County","New York",Manhattan,401,"401 West End Ave # 3d, New York, NY 10024, USA",40.7845412,-73.981249
"Brokered by COMPASS","Co-op for sale",7495000,4,2171,"151 E 79th St Fl 11","Manhattan, NY 10075","151 E 79th St Fl 11, Manhattan, NY 10075","New York","New York County","New York",Manhattan,151,"151 E 79th St Fl 11, New York, NY 10075, USA",40.775111,-73.958515
"Brokered by Ozana Realty Group","House for sale",698888,2,1440,"160 New Dorp Plz","Staten Island, NY 10306","160 New Dorp Plz, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","New Dorp Plaza","160 New Dorp Plaza, Staten Island, NY 10306, USA",40.571472,-74.1193966
"Brokered by Corcoran Chelsea/Flatiron","Condo for sale",850000,1,626,"158 India St Apt 3","Brooklyn, NY 11222","158 India St Apt 3, Brooklyn, NY 11222","New York","Kings County",Brooklyn,Greenpoint,158,"158 India St APT 3, Brooklyn, NY 11222, USA",40.7322099,-73.9535842
"Brokered by Serhant","Townhouse for sale",2999999,3,2800,"465 Saint Johns Pl","Brooklyn, NY 11238","465 Saint Johns Pl, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Saint Johns Place","465 St Johns Pl, Brooklyn, NY 11238, USA",40.6736636,-73.9623858
"Brokered by Property Professional Realty","Multi-family home for sale",1149999,3,2187,"86-58 261st St","Floral Park, NY 11001","86-58 261st St, Floral Park, NY 11001","United States","New York","Queens County",Queens,"261st Street","86-58 261st St, Queens, NY 11001, USA",40.7320002,-73.7055812
"Brokered by Daniel Gale of Brooklyn LLC","Townhouse for sale",2025000,2,1500,"204 Richards Street Richards St Unit 204","Brooklyn, NY 11231","204 Richards Street Richards St Unit 204, Brooklyn, NY 11231","United States","New York","Kings County",Brooklyn,"Richards Street","204 Richards St, Brooklyn, NY 11231, USA",40.6756128,-74.0124872
"Brokered by COMPASS","Townhouse for sale",2695000,2,1950,"338 Humboldt St","Brooklyn, NY 11211","338 Humboldt St, Brooklyn, NY 11211","United States","New York","Kings County",Brooklyn,"Humboldt Street","338 Humboldt St, Brooklyn, NY 11211, USA",40.7135237,-73.942354
"Brokered by Brown Harris Stevens","Co-op for sale",192500,1,2183,"555 Kappock St Apt 12F","Bronx, NY 10463","555 Kappock St Apt 12F, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",555,"555 Kappock St #12f, Bronx, NY 10463, USA",40.878087,-73.9170513
"Brokered by Gerard R Desgranges","Co-op for sale",395000,1,550,"170 W 85th St Apt 4NW","New York, NY 10024","170 W 85th St Apt 4NW, New York, NY 10024","New York","New York County","New York",Manhattan,170,"170 W 85th St #4n, New York, NY 10024, USA",40.7867652,-73.9753353
"Brokered by Bond New York- Columbus Circle","Co-op for sale",699000,1,800,"7 W 92nd St Apt 5G","New York, NY 10025","7 W 92nd St Apt 5G, New York, NY 10025","New York","New York County","New York",Manhattan,7,"7 W 92nd St #5g, New York, NY 10025, USA",40.7896573,-73.9673229
"Brokered by L I Homes Of Distinction","Multi-family home for sale",649000,2,2183,"616 Beach 69th St","Arverne, NY 11692","616 Beach 69th St, Arverne, NY 11692","United States","New York","Queens County",Queens,"Beach 69th Street","616 Beach 69th St, Arverne, NY 11692, USA",40.5974508,-73.7983993
"Brokered by Realty By The Park Inc / Santana Real Estate","Condo for sale",668000,2,2168,"83-75 117th St Unit 7A","Kew Gardens, NY 11418","83-75 117th St Unit 7A, Kew Gardens, NY 11418","New York","Queens County",Queens,"Richmond Hill",83-75,"83-75 117th St #7a, Richmond Hill, NY 11418, USA",40.7046248,-73.8349003
"Brokered by COMPASS","Townhouse for sale",5500000,6,5925,"34 MT Morris Park W","Manhattan, NY 10027","34 MT Morris Park W, Manhattan, NY 10027","United States","New York","New York County","New York","Mount Morris Park West","34 Mt Morris Park W, New York, NY 10027, USA",40.806166,-73.9448308
"Brokered by Grandeur Realty, Inc.","House for sale",1680000,1,3536,"314 W 138th St","New York, NY 10030","314 W 138th St, New York, NY 10030","United States","New York","New York County","New York","West 138th Street","314 W 138th St, New York, NY 10030, USA",40.8186279,-73.9460737
"Brokered by COMPASS","Co-op for sale",1650000,2,1000,"92 Horatio St Apt 1L","Manhattan, NY 10014","92 Horatio St Apt 1L, Manhattan, NY 10014","New York","New York County","New York",Manhattan,92,"92 Horatio St #1b, New York, NY 10014, USA",40.7385868,-74.0078404
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",6750000,3,3000,"525 W 22nd St Apt 2F","New York, NY 10011","525 W 22nd St Apt 2F, New York, NY 10011","New York","New York County","New York",Manhattan,525,"525 W 22nd St #2f, New York, NY 10011, USA",40.7476234,-74.0057263
"Brokered by Sowae Corp","House for sale",580000,3,2940,"801 Thomas S Boyland St","Brooklyn, NY 11212","801 Thomas S Boyland St, Brooklyn, NY 11212","United States","New York","Kings County",Brooklyn,"Thomas S Boyland Street","801 Thomas S Boyland St, Brooklyn, NY 11212, USA",40.6609696,-73.9111929
